,id,code,name_ru,name_en,genres,description,episodes_count,year
0,5411.0,angel-densetsu,Легенда об Ангеле,Angel Densetsu,"Драма, Комедия, Сёнен","Сэйитиро Китано – юноша с сердцем ангела и лицом демона.

 Он только что перевелся в школу Хекикуу. У него отличные отметки, превосходные характеристики и еще лучшие намерения. А что толку? Китано боятся и учителя, и ученики, а тут еще нелепая случайность столкнула его со свирепым Сэйкити Куродой, теневым «боссом» школы. Но Куродо оказался так напуган лицом первогодки-«отморозка», что сдал свой грозный титул практически без боя...

Так что теперь пацифист и отличник Китано-сан – новый лидер драчунов Хэкикуу.",2.0,1996.0
0,8443.0,cowboy-bebop,Ковбой Бибоп,Cowboy Bebop,"Драма, Комедия, Приключения, Фантастика, Экшен","Культовый сериал о приключениях двух охотников за головами - Спайке и Джете, бороздящими просторы Солнечной Системы на корабле ""Бибоп"" и промышляющими охотой на преступников за награду.




BDRip 1080p - HEVC - HEVC/FLAC, 5.1

BDRip 1080p - H264/FLAC, 5.1

BDRip 720p - H264/AC3, 5.1",26.0,1998.0
0,8910.0,trigun,Триган,Trigun,"Приключения, Сёнен, Фантастика, Экшен","«Trigun» — известный в своём жанре космического вестерна сериал, повествующий о парне по имени Вэш Ураган и его похождениях с двумя девушками из страхового агентства «Бернарделли». Сотрудницы агентства всюду следуют за Вэшем, пытаясь свести к минимуму те разрушения, которые неизбежно появляются вслед за приходом Вэша куда бы то ни было.
Всё дело в охотниках за головами, жаждущих получить награду в «$$ 60,000,000,000» (шестьдесят миллиардов «двойных долларов»), которая назначена за голову Вэша за то, что тот единолично уничтожил город Июль. Хотя сам Вэш не может вспомнить этого инцидента из-за случившейся с ним амнезии.
На протяжении всего путешествия Вэш пытается спасти свою жизнь «не смертоносными» методами. И время от времени ему составляет компанию священник Николас Дэ Вульфвуд, который, как и Вэш, является превосходным стрелком с загадочным прошлым.",26.0,1998.0
0,9202.0,yu-gi-oh-shadow-game,Югио! Игра Теней,Yu-Gi-Oh! Shadow Game,"Игры, Комедия, Сёнен, Фэнтези, Экшен","Юги Муто — отчасти хрупкий молодой мальчик, который, оказывается, большой поклонник игр любого рода. Но когда он решает древнюю египетскую головоломку, Юги получает все силы тьмы. Теперь, столкнувшись с опасностью и несправедливостью, он превращает эту силу в гораздо более тёмную и опасную форму и приступает к сражению за справедливость и наказание.",27.0,1998.0
0,9462.0,yu-gi-oh-movie,Югио! Фильм,Yu-Gi-Oh! Movie,"Игры, Комедия, Сёнен, Фэнтези, Экшен","Обычный паренёк по имени Сёго Аояма имеет в своём распоряжении довольно необычную карту — «Красноглазый чёрный дракон». Однако Сёго лишь хвастается карточкой, ведь в дуэлях он не участвует. К нему на помощь приходят Юги и Кацуя. Их цель — научить этого парня играть в «Дуэльных монстров»!",1.0,1999.0
0,442.0,kenshin-ova2,Бродяга Кэнсин OVA-2,Kenshin Ova 2,"Боевые искусства, Драма, Экшен","Два ОВА-эпизода, являющихся продолжением оригинального сериала.
Каору каждый день ходит в порт проверить, не вернулся ли Кэнсин. Спустя некоторое время она начинает оглядываться на свою жизнь с Кэнсином и вспоминать всё, что с ней случилось за это время…",2.0,2001.0
0,5831.0,planetes,Странники,PlanetES,"Драма, Романтика, Сейнен, Фантастика","К 2075 году человечество достигло той точки, когда путешествия между Землёй, Луной и космическими станциями стали частью повседневной жизни. Однако, со временем такой технологический прогресс обострил проблему космического мусора, который может нанести чрезвычайные и даже катастрофические повреждения космическим судам и оборудованию. Эта история об Отделе Расчистки Космического Мусора, подразделении корпорации «Текнора», о его работнике Хатирота Хосино и новой сотруднице в их группе Ай Танабэ. 

 © sheo, shikimori 

 

 Спонсор релиза - Котовник_кошачий",26.0,2003.0
0,8700.0,texhnolyze,Технолайз,Texhnolyze,"Драма, Психологическое, Фантастика, Экшен","Люкс — подземный город, который был построен ради одного эксперимента, но люди, живущие на поверхности, забыли о нем. Жители Люкса оказались в отчаянном положении. В городе установилось хрупкое равновесие сил между взявшими верх группировками. Была изобретена технология «Технолайз», которая «помогает» управлять городом. Теперь некоторые люди Люкса обладают технолизированными конечностями, похожими на протезы. Действие сериала разворачивается вокруг Итисэ — уличного бойца, одного из потомков первых сосланных под землю людей. Чем же станет «Технолайз» — спасением города или же его разрушением?



Торрент с качеством 1080p является апскейлом оригинального 480p!",22.0,2003.0
0,7012.0,beck-mongolian-chop-squad,Бек: Восточная ударная группа,Beck: Mongolian Chop Squad,"Драма, Комедия, Музыка, Повседневность, Сёнен","Юкио Танака, а для друзей Коюки, с детства любил петь. Впрочем, талант его не нашёл применения, и сам он ведёт обыкновенную школьную жизнь.

Однажды он спасает странного пса, на вид состоящего будто из частей разных собак, и так знакомится с его хозяином, гитаристом Рюскe Минами. Постепенно Коюки начинает всё больше общаться с Рюскe — тот талантливый музыкант и мечтает основать собственную группу.





Озвучено по желанию злого Лемура, посильной помощи участников группы  Циничный отаку и Котовника_Кошачьего",26.0,2004.0
0,8386.0,school-rumble,Школьный переполох,School Rumble  ,"Комедия, Романтика, Сёнен, Школа","Всё меняется со слов """"Я люблю тебя"""" - так начинаются горько-сладкие испытания школьной романтики. Тенма Цукамото, второгодка старшей школы, пытается признаться в своих чувствах парню, который ей нравится. Кенджи Харима, известный в школе хулиган, находится в аналогичной ситуации, так как он не может должным образом рассказать о своём трепетном отношении к самой Цукамото. А ведь нужно находить время не только на учебу, но и на учебу, друзей, увлечения и соперничества. 
В этом школьном переполохе Тенма и Кенджи пытаются завоевать сердца тех, в кого влюблены.",26.0,2004.0
0,8452.0,bleach,Блич,Bleach,"Комедия, Приключения, Сверхъестественное, Сёнен, Супер сила, Фэнтези, Экшен","Ичиго Куросаки - 15-тилетний подросток. Учится в средней школе. С 8-ми лет рос без материнской опеки. С детства видит духов умерших. 
 Но в один непримечательный вечер к нему, не осознавая того, что он видит духов, приходит через окно Рукия Кучики. Она - шинигами, бог смерти. И конечно же она получает хорошенький пинок, ногой в спину. Вот так можно описать первую встречу Ичиго с той, кто положит начало долгой и захватывающей истории простого, на первый взгляд, подростка.",366.0,2004.0
0,8684.0,elfen-lied,Эльфийская песнь,Elfen Lied,"Драма, Психологическое, Романтика, Сверхъестественное, Сейнен, Ужасы, Экшен","Диклониусы — побочная, мутировавшая ветвь людей, избранная, кажется, самим Богом, чтобы положить конец человечеству. От обычных людей их отличают небольшие рожки на голове и то, что они владеют как бы «шестым чувством», дающим им способность к телекинезу. Именно из-за этой опасной силы правительство отлавливает их и помещает в специальные лаборатории, где они подвергаются жестоким экспериментам.


14 серия в плеере - это OVA (она же 10.5 в торренте).


ВНИМАНИЕ: данное аниме предназначено для лиц, достигших 18-летнего возраста",13.0,2004.0
0,644.0,shakugan-no-shana,Жгучий взор Шаны,Shakugan no Shana,"Приключения, Романтика, Фэнтези","Огнеглазая, пламевласая охотница. Девушка из другого мира. Школьник по имени Сакай Юджи и представить себе не мог, чем для него оберётся эта встреча. Смерть. Исчезновение. И погружение в новый мир. Мир, в котором бесконечно борются между собой багровые томогара и огненные туманы.",24.0,2005.0
0,8746.0,paradise-kiss,Райский поцелуй,Paradise Kiss,"Драма, Комедия, Повседневность, Романтика","Юкари — обычная примерная ученица старшей школы, которая слушается своих родителей и каждый будний день посещает школу. И как раз тогда, когда она начала задумываться о своей жизни, она встретила группу модных дизайнеров, шьющих для собственного лейбла «Paradise Kiss». Группе необходима модель, которая будет представлять их одежду на модном шоу, и они решают взять на эту роль Юкари. Поначалу она отказывалась, не хотела быть связанной со столь эксцентричными людьми, однако скоро девушка осознала, что они — отличные друзья. Более того, их страсть и энтузиазм в осуществлении своих идеалов и мечтаний заставляют Юкари осознать, что она до сих пор не наслаждалась своей жизнью, и мотивируют её на реализацию собственной мечты. История повествует о вовлечении Юкари в «Paradise Kiss» и о том, как она влюбилась в лидера группы дизайнеров — Джорджи.",12.0,2005.0
0,406.0,codegeass-r1,Код Гиасс: Восставший Лелуш R1,Code Geass: Hangyaku no Lelouch R1,"Драма, Меха, Приключения, Фантастика","Молодой британец Лелуш и сам не знал, в какую историю окажется впутан. Умирая от скуки в тусклых буднях обычной жизни, наш герой спасает загадочную девушку, представившуюся коротким именем С.С. Получив от неё зловещую силу, имя которой ""Гиасс"", Лелуш обретает то, чего давно искал - возможность отомстить своему отцу, императору Великой Британской Империи. © Lupin, AniLibria.TV",25.0,2006.0
0,638.0,NHK,Добро пожаловать в NHK,NHK ni Youkoso,"Драма, Комедия, Повседневность","Сато Тацухиро – хикикомори. Это означает, что он не работает, не учится, испытает трудности с общением и почти не выходит из дому – у Сато модный в Японии «синдром затворничества». В свои 22 года он уже вполне оформившийся неудачник: верит в мировой заговор и переживает острые панические атаки в людных местах. Однако, как знать, вдруг это всё-таки обратимо?..
Однажды к Сато стучатся миссионеры, разносящие душеполезные брошюрки, и юная девушка по имени Мисаки говорит нашему затворнику, что знает, как ему помочь. И, если только Сато подпишет контракт и обязуется ему точно следовать (при нарушении условий штраф в 1 миллион иен!), он вскоре перестанет быть хикикомори и заживет припеваючи…
© Анастасия Розанова, World Art",24.0,2006.0
